,best,worst,mean,std
2-30-10000-1-9,4315,4337,4324.4,6.686636756330578
2-30-10000-2-8,4315,4334,4322.9,5.384133067531753
2-40-10000-1-7,4432,4447,4438.3,5.121848624601603
2-40-10000-2-6,4425,4456,4442.3,9.922477289243629
2-50-10000-1-5,4497,4524,4507.3,7.513691207093591
2-50-10000-2-4,4498,4523,4508.5,6.75359986311827
20-10-10000-1-9,7828,7839,7832.9,2.9981475762358483
20-20-10000-1-7,8408,8420,8415.3,3.802046232695699
20-30-10000-1-5,8636,8649,8641.8,4.157990967870047
20-40-10000-1-3,8772,8784,8778.5,3.7490739597339973
20-50-10000-1-1,8868,8881,8874.1,4.175324338699131
4-20-10000-1-2,6357,6372,6362.3,4.9899899799498595
4-20-10000-2-3,4965,4976,4970.5,3.0276503540974917
4-30-10000-1-1,6560,6577,6570.4,5.4812812776251905
4-30-10000-2-0,5004,5010,5007.8,2.043961295567452
4-40-10000-1-9,6703,6719,6708.8,4.315347288715269
4-40-10000-2-8,5007,5010,5008.8,1.0327955589886444
4-50-10000-1-7,6800,6822,6809.6,7.074209810603899
4-50-10000-2-6,5005,5008,5006.1,1.1005049346146119
